ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason,regime
1211.SR,2022-03-29 00:00:00+03:00,2022-04-20 00:00:00+03:00,45.31193307876586,47.28599872970581,1855,3661.8917824936048,0.04356613185114888,21,trailing_stop,BULL
2380.SR,2022-03-29 00:00:00+03:00,2022-04-24 00:00:00+03:00,20.2631189289093,19.34795178794861,3323,-3041.1004094123746,-0.04516417952100282,23,trailing_stop,BULL
4250.SR,2022-04-06 00:00:00+03:00,2022-04-24 00:00:00+03:00,27.026999999999997,28.071900381088255,1542,1611.236387638094,0.03866135276161842,15,trailing_stop,BULL
4261.SR,2022-04-07 00:00:00+03:00,2022-05-11 00:00:00+03:00,38.24085844802856,38.46168673324585,626,138.23850654602177,0.00577466861831577,33,trailing_stop,BULL
1010.SR,2022-03-29 00:00:00+03:00,2022-05-12 00:00:00+03:00,31.643292665481564,29.646957201004028,3318,-6623.841071136463,-0.06308874002405129,43,trailing_stop,BULL
7020.SR,2022-04-05 00:00:00+03:00,2022-05-15 00:00:00+03:00,34.80191421127319,34.9066934967041,413,43.273844882964994,0.003010733398020049,37,trailing_stop,BEAR
1050.SR,2022-04-07 00:00:00+03:00,2022-05-15 00:00:00+03:00,21.32043434333801,19.616742862701415,1749,-2979.756399633407,-0.0799088542569466,35,trailing_stop,BULL
4250.SR,2022-04-24 00:00:00+03:00,2022-05-17 00:00:00+03:00,28.128100381851194,26.273699237823486,1231,-2282.767808298109,-0.06592699538374103,22,trailing_stop,BULL
2170.SR,2022-03-29 00:00:00+03:00,2022-05-23 00:00:00+03:00,57.039266830444326,60.921618564605716,846,3284.469567100535,0.06806454482842694,54,trailing_stop,BULL
2050.SR,2022-03-29 00:00:00+03:00,2022-06-13 00:00:00+03:00,20.682383905410763,20.083983741760253,3639,-2177.5781955242055,-0.02893284286701403,75,trailing_stop,BULL
1080.SR,2022-05-12 00:00:00+03:00,2022-06-14 00:00:00+03:00,17.72775490570068,17.72262752151489,2274,-11.659671638487865,-0.000289229189655682,32,trailing_stop,BULL
4003.SR,2022-06-14 00:00:00+03:00,2022-09-18 00:00:00+03:00,70.70372024536132,74.5406801147461,221,847.9681311340344,0.05426814679721903,93,trailing_stop,BEAR
2010.SR,2022-03-29 00:00:00+03:00,2022-09-26 00:00:00+03:00,109.91791357421874,75.36950134277343,854,-29504.344045654296,-0.3143110263653025,180,time_exit,BULL
4030.SR,2022-03-29 00:00:00+03:00,2022-09-26 00:00:00+03:00,14.096215426445006,13.262891701698303,4276,-3563.2922470169046,-0.05911684090634417,180,time_exit,BULL
2060.SR,2022-03-29 00:00:00+03:00,2022-09-26 00:00:00+03:00,23.543520458221433,13.366620114326476,2291,-23315.278687863345,-0.43225907365698013,180,time_exit,BULL
8210.SR,2022-04-07 00:00:00+03:00,2022-10-05 00:00:00+03:00,127.7768267288208,129.41613912963868,233,381.9597893905674,0.012829496887545755,180,time_exit,BULL
2030.SR,2022-04-07 00:00:00+03:00,2022-10-05 00:00:00+03:00,122.45368358612059,96.20685083770752,218,-5721.809539154049,-0.21434090000203143,180,time_exit,BULL
3040.SR,2022-04-20 00:00:00+03:00,2022-10-18 00:00:00+03:00,66.5686918258667,63.16209740066528,460,-1567.0334355926495,-0.05117412302637003,180,time_exit,BULL
3060.SR,2022-04-24 00:00:00+03:00,2022-10-24 00:00:00+03:00,34.24858127975463,35.221960189819335,1129,1098.9447894630498,0.028420999460205376,182,time_exit,BULL
4001.SR,2022-04-07 00:00:00+03:00,2022-10-27 00:00:00+03:00,9.133366070747375,9.453490613937378,3655,1170.055205359461,0.035050006833220904,202,trailing_stop,BULL
2330.SR,2022-09-26 00:00:00+03:00,2022-10-30 00:00:00+03:00,41.96129193115234,42.85135090255737,487,433.4587190742509,0.02121142916346308,31,trailing_stop,BEAR
7030.SR,2022-10-06 00:00:00+03:00,2022-11-03 00:00:00+03:00,10.577921556472777,10.822924595832825,1839,450.5605893831286,0.02316173721387904,27,trailing_stop,BEAR
1180.SR,2022-05-11 00:00:00+03:00,2022-11-08 00:00:00+03:00,49.25105656051635,37.459916221618656,680,-8017.975430450435,-0.23940888099343705,180,time_exit,BULL
4320.SR,2022-09-26 00:00:00+03:00,2022-11-13 00:00:00+03:00,14.460107206344603,14.073261589050293,1364,-527.6574219894376,-0.026752610597836624,45,trailing_stop,BEAR
1010.SR,2022-05-15 00:00:00+03:00,2022-11-14 00:00:00+03:00,31.98492156600952,31.851996734619142,1287,-171.0742579994141,-0.004155859226231073,182,time_exit,BULL
1120.SR,2022-05-15 00:00:00+03:00,2022-11-14 00:00:00+03:00,95.58357860565185,77.19632411956788,385,-7079.092977142331,-0.1923683414485251,182,time_exit,BULL
2290.SR,2022-05-17 00:00:00+03:00,2022-11-14 00:00:00+03:00,46.80929381179809,36.81011882400513,777,-7769.358965515132,-0.21361516428758232,180,time_exit,BULL
