ticker,name,score,recommendation
1322.SR,Almasane Alkobra Mining Co,74.75906660810956,GOOD
1211.SR,Saudi Arabian Mining Co.,70.90519751500378,GOOD
7200.SR,Al Moammar Information Systems ,70.21366880428141,GOOD
2110.SR,Saudi Cable Co.,69.85142264239003,GOOD
1303.SR,Electrical Industries Co.,68.50769698812263,GOOD
1180.SR,The Saudi National Bank,68.0234467017017,GOOD
2240.SR,Advanced Building Industries Co,67.42546748154452,GOOD
1304.SR,Al Yamamah Steel Industries Co.,65.1367753634907,GOOD
8210.SR,Bupa Arabia for Cooperative Ins,64.97038432151385,GOOD
4071.SR,Arabian Contracting Services Co,64.87376473976815,GOOD
8010.SR,The Company for Cooperative Ins,64.15246421103592,GOOD
4300.SR,Dar Alarkan Real Estate Develop,63.878394726763666,GOOD
2320.SR,Al-Babtain Power and Telecommun,63.632569255027754,GOOD
1321.SR,East Pipes Integrated Company f,63.41274180841629,GOOD
1060.SR,Saudi Awwal Bank,62.659757789780265,GOOD
4100.SR,Makkah Construction and Develop,62.41399862628086,GOOD
7020.SR,Etihad Etisalat Co.,61.956912907629494,GOOD
1150.SR,Alinma Bank,61.59793764936179,GOOD
4190.SR,Jarir Marketing Co.,61.24096454518989,GOOD
1120.SR,Al Rajhi Bank,61.13042179328387,GOOD
1010.SR,Riyad Bank,60.79867007991099,GOOD
4280.SR,Kingdom Holding Co.,60.6847601008202,GOOD
2380.SR,Rabigh Refining and Petrochemic,59.8100441460277,MODERATE
4030.SR,National Shipping Company of Sa,59.717480759153496,MODERATE
2222.SR,Saudi Arabian Oil Co.,59.712825640093875,MODERATE
7010.SR,Saudi Telecom Co.,59.57571483642904,MODERATE
2350.SR,Saudi Kayan Petrochemical Co.,59.46692686576188,MODERATE
1020.SR,Bank Aljazira,59.28558493734473,MODERATE
2020.SR,SABIC Agri-Nutrients Co.,59.285094339067285,MODERATE
4020.SR,Saudi Real Estate Co.,58.697094260321656,MODERATE
1320.SR,Saudi Steel Pipe Co.,58.37512976898267,MODERATE
1140.SR,Bank Albilad,58.16114035773218,MODERATE
8030.SR,The Mediterranean and Gulf Insu,57.48522270046627,MODERATE
2070.SR,Saudi Pharmaceutical Industries,56.517538499872344,MODERATE
2360.SR,Saudi Vitrified Clay Pipes Co.,56.291949516694366,MODERATE
2082.SR,ACWA POWER Co.,55.90951851181261,MODERATE
2230.SR,Saudi Chemical Co.,55.87004657260415,MODERATE
6070.SR,Al-Jouf Agricultural Developmen,55.85551067471161,MODERATE
8240.SR,CHUBB Arabia Cooperative Insura,55.82381813969692,MODERATE
2120.SR,Saudi Advanced Industries Co.,55.60332859384586,MODERATE
2050.SR,Savola Group,55.50209256728057,MODERATE
1050.SR,Banque Saudi Fransi,55.40923236322969,MODERATE
1030.SR,Saudi Investment Bank,55.21380484704796,MODERATE
4009.SR,Middle East Healthcare Co.,55.202066884524115,MODERATE
1212.SR,Astra Industrial Group,55.00501209605976,MODERATE
4170.SR,Tourism Enterprise Co.,54.9541336315274,MODERATE
8230.SR,Al-Rajhi Company for Cooperativ,54.61640090250553,MODERATE
2010.SR,Saudi Basic Industries Corp.,54.45820806611466,MODERATE
8190.SR,United Cooperative Assurance Co,54.44437831399284,MODERATE
8280.SR,LIVA Insurance Co.,54.3034016962418,MODERATE
1080.SR,Arab National Bank,54.1975324438265,MODERATE
4003.SR,United Electronics Co.,54.12100084295249,MODERATE
