ticker,name,sector,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,net_pnl,pnl_pct,holding_days,exit_reason
4002.SR,Mouwasat,Healthcare,2022-05-30 00:00:00+03:00,2022-06-03 00:00:00+03:00,95.1867378119974,98.16932428547013,327,975.3057768255801,943.2044077842313,0.03133405495378572,3,stop_loss
4310.SR,Emaar Economic City,Real Estate,2022-05-30 00:00:00+03:00,2022-06-09 00:00:00+03:00,15.115100381851194,15.164820304870606,2738,136.13314922714906,94.61187123241334,0.003289420629922546,9,stop_loss
2030.SR,Saudi Kayan,Energy,2022-05-30 00:00:00+03:00,2022-06-10 00:00:00+03:00,103.75094855444107,101.1859228729248,443,-1136.3063769117034,-1181.1317407444092,-0.02472291306493757,10,stop_loss
3060.SR,Yanbu Cement,Materials,2022-05-31 00:00:00+03:00,2022-06-10 00:00:00+03:00,31.268669221514003,31.124718234179824,1281,-184.40121477508342,-224.27197883306778,-0.004603681286031058,9,stop_loss
4190.SR,Jarir Marketing,Retail,2022-05-30 00:00:00+03:00,2022-06-13 00:00:00+03:00,13.61934463077381,12.319400781394114,3256,-4232.617173580291,-4272.72914252451,-0.09544834091666843,13,stop_loss
1180.SR,Al Rajhi Bank,Banking,2022-06-01 00:00:00+03:00,2022-06-13 00:00:00+03:00,45.99320185550847,44.307514955867994,747,-1259.208114031433,-1292.3058277034665,-0.036650783847060664,11,stop_loss
2010.SR,SABIC,Materials,2022-06-01 00:00:00+03:00,2022-06-13 00:00:00+03:00,97.43836112982126,94.00790708209608,354,-1214.380732894713,-1247.659532001775,-0.03520640133873598,11,stop_loss
7010.SR,STC,Telecom,2022-06-01 00:00:00+03:00,2022-06-14 00:00:00+03:00,33.05874345174913,33.12082621729852,1099,68.22895933878091,31.82917132596983,0.0018779529730161837,12,stop_loss
8010.SR,Tawuniya,Insurance,2022-06-01 00:00:00+03:00,2022-06-14 00:00:00+03:00,48.567595031404764,48.63266988293878,582,37.873563592796174,9.569349720925803,0.0013398821064114497,12,stop_loss
2320.SR,Al-Babtain Power,Industrial,2022-06-13 00:00:00+03:00,2022-06-14 00:00:00+03:00,14.786353795687905,14.151342599562701,2722,-1728.5004758528044,-1767.020430408814,-0.042945759644300585,0,stop_loss
3020.SR,Yamama Cement,Materials,2022-05-30 00:00:00+03:00,2022-06-17 00:00:00+03:00,27.454008170386924,26.530066515019506,1303,-1203.895976943746,-1238.4646536128164,-0.0336541626138227,17,stop_loss
4100.SR,Makkah Construction,Real Estate,2022-06-13 00:00:00+03:00,2022-06-17 00:00:00+03:00,60.036676008590504,56.846088437990794,705,-2249.364237272796,-2289.4407296215795,-0.05314397436232443,3,stop_loss
2040.SR,Saudi Ceramic,Materials,2022-06-14 00:00:00+03:00,2022-06-17 00:00:00+03:00,35.942223536195776,32.054410560607366,1110,-4315.472402903136,-4351.05279862541,-0.1081684045416158,2,stop_loss
6002.SR,Herfy,Food,2022-06-14 00:00:00+03:00,2022-06-17 00:00:00+03:00,43.72235794643012,41.1232801382201,757,-1967.5019008149845,-1998.6322238796172,-0.05944505123430177,2,stop_loss
2030.SR,Saudi Kayan,Energy,2022-06-15 00:00:00+03:00,2022-06-17 00:00:00+03:00,92.33243564731343,83.50294354777029,299,-2640.0181377634003,-2664.9855178841835,-0.09562719793583241,1,stop_loss
7020.SR,Mobily,Telecom,2022-06-14 00:00:00+03:00,2022-06-20 00:00:00+03:00,32.06199247037529,31.195758109379906,767,-664.4017548834577,-688.3289013533521,-0.027017483763548622,5,stop_loss
2320.SR,Al-Babtain Power,Industrial,2022-06-14 00:00:00+03:00,2022-06-20 00:00:00+03:00,14.17967361577804,13.011636535274715,2569,-3000.6872598130417,-3034.1141540721624,-0.08237404556361749,5,stop_loss
2070.SR,Saudi Pharma,Industrial,2022-06-14 00:00:00+03:00,2022-06-20 00:00:00+03:00,30.029999999999998,28.72125,1123,-1469.7262499999958,-1501.9802137499958,-0.04358141858141851,5,stop_loss
1060.SR,Saudi Awwal Bank,Banking,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,32.78681318764241,32.59496728096123,604,-115.8749276354331,-135.56228787313367,-0.0058513130136566005,4,stop_loss
3060.SR,Yanbu Cement,Materials,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,28.83399176118292,27.570439417845588,1026,-1296.4047042641014,-1324.691975106811,-0.04382162392923894,4,stop_loss
1320.SR,Saudi Steel Pipe,Materials,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,18.732728699466314,17.089683527765676,1552,-2550.006106479391,-2576.529295314483,-0.08770986854400176,4,stop_loss
4310.SR,Emaar Economic City,Real Estate,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,13.113100381851195,12.687299809455872,1696,-722.1577707824677,-743.6754312593048,-0.03247138815353234,4,stop_loss
1304.SR,Yamamah Steel,Industrial,2022-06-15 00:00:00+03:00,2022-06-20 00:00:00+03:00,33.95898050596016,31.69264849090576,780,-1767.738971742434,-1792.4592375653403,-0.06673733961644213,4,stop_loss
1303.SR,Electrical Industries,Industrial,2022-06-16 00:00:00+03:00,2022-06-20 00:00:00+03:00,0.8744634860978601,0.793378404903634,23258,-1885.8768184153103,-1904.329213356559,-0.09272551968528042,3,stop_loss
2082.SR,ACWA Power,Utilities,2022-06-20 00:00:00+03:00,2022-06-22 00:00:00+03:00,129.4103158974685,152.8131559363071,91,2129.658443534313,2115.752446344109,0.18084215216181554,1,take_profit
